Match,Red1,Red2,Red3,Blue1,Blue2,Blue3,redScore,blueScore,redWin,redRP,blueRP
140,5834,1114,4152,3543,6514,5719,125.53,66.41,True,3.7106999999999997,0.009700000000000042
141,2702,8729,2013,4951,2056,1360,101.86,115.31,False,0.7852,3.1995
142,2609,2708,1241,4476,1310,2706,125.13,130.93,False,1.5557999999999998,2.9592
143,5870,4946,6978,4069,8850,4039,92.47,110.41,False,0.32780000000000004,3.2032999999999996
144,7712,1285,6864,7603,6987,865,84.69999999999999,68.17999999999999,True,2.2351,0.17309999999999998
145,5672,2935,3161,4920,5885,4343,94.22999999999999,84.14,True,2.8693999999999997,0.4100999999999999
146,9113,6141,9098,4976,2852,5409,70.24000000000001,114.71,False,0.9131999999999999,3.4392
147,5596,7690,8349,3756,8089,3543,68.17999999999999,56.34,True,1.7550000000000001,0.45890000000000003
148,9127,772,8731,4678,2702,5834,39.550000000000004,114.57999999999998,False,-0.5316,2.9384
149,7659,2708,2706,8081,7757,2200,89.77000000000001,108.36,False,0.47770000000000007,2.967
150,3683,6397,1114,1360,5032,4039,137.41,112.03999999999999,True,4.5816,1.1189
151,7475,1305,6987,4951,781,6978,83.17,76.77000000000001,True,2.5586,0.4223
152,5024,7480,2056,5870,5672,4476,151.03,90.64,True,3.9292,0.624
153,4152,4946,1285,4917,9263,6859,116.82999999999998,73.60000000000001,True,2.8507999999999996,0.5608000000000001
154,2013,6514,4069,1241,1374,771,107.44,82.94000000000001,True,3.1569000000000003,0.6183000000000001
155,610,9062,9098,1310,7603,7022,106.5,76.96,True,3.3285,0.5883999999999999
156,7712,9113,3161,8729,5406,7690,87.19,100.28999999999999,False,0.612,2.7442
157,4920,8850,8089,2852,3739,865,65.97,83.32,False,0.4320000000000001,2.6775
158,4907,4343,8764,4976,5031,2609,100.33,120.47,False,0.3688,3.3646
159,3756,2935,5409,6864,1325,7476,85.18,88.27,False,0.8535,2.0079
160,5036,5596,5885,6141,5719,7558,62.629999999999995,88.74000000000001,False,-0.04379999999999995,2.5324
